# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	52	1473	+					dnaA		Leucomu_RS00005	1422		old_locus_tag=Leucomu_00005
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	52	1473	+	WP_228407392.1	WP_228407392.1		chromosomal replication initiator protein DnaA	dnaA		Leucomu_RS00005	1422	473	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	1900	3042	+					dnaN		Leucomu_RS00010	1143		old_locus_tag=Leucomu_00010
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	1900	3042	+	WP_017884102.1	WP_017884102.1		DNA polymerase III subunit beta	dnaN		Leucomu_RS00010	1143	380	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	3055	4215	+					recF		Leucomu_RS00015	1161		old_locus_tag=Leucomu_00015
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	3055	4215	+	WP_128385937.1	WP_128385937.1		DNA replication/repair protein RecF	recF		Leucomu_RS00015	1161	386	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	4377	4706	+							Leucomu_RS00020	330		old_locus_tag=Leucomu_00020
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	4377	4706	+	WP_228407393.1	WP_228407393.1		DciA family protein			Leucomu_RS00020	330	109	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	5227	7224	+					gyrB		Leucomu_RS00025	1998		old_locus_tag=Leucomu_00025
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	5227	7224	+	WP_128385938.1	WP_128385938.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		Leucomu_RS00025	1998	665	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	7301	9808	+					gyrA		Leucomu_RS00030	2508		old_locus_tag=Leucomu_00030
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	7301	9808	+	WP_193743407.1	WP_193743407.1		DNA gyrase subunit A	gyrA		Leucomu_RS00030	2508	835	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	9801	10208	+							Leucomu_RS00035	408		old_locus_tag=Leucomu_00035
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	9801	10208	+	WP_017884107.1	WP_017884107.1		DUF3566 domain-containing protein			Leucomu_RS00035	408	135	
